LONGITUDE,LATITUDE,cluster
27.1833333,60.2833333,3
24.963333,60.317222,3
19.898156,60.122203,3
26.938353,60.896394,1
20.35,59.5,2
26.9666666,60.3833333,3
19.95,59.9666666,2
24.95,60.1833333,3
21.3666666,59.7833333,3
22.95,59.7666666,3
26.45,60.2833333,3
24.0166666,59.9333333,3
25.6333333,60.2,3
19.1333333,60.3,2
-0.85,60.75,2
24.9666666,60.2,3
-2.905,58.957778,2
-1.6333333,59.5333333,2
-1.1833333,60.1333333,2
-5.6333333,57.8666666,2
-6.331111,58.215556,2
-4.8833333,57.7166666,2
-4.4333333,58.2833333,2
-7.3666666,57.3333333,2
-3.560636,57.649386,2
-3.9666667,57.8166667,2
-4.7,56.8666666,2
-3.8333333,57.2,2
-3.339169,57.705214,2
-2.8333333,57.0833333,2
-2.2666666,56.85,2
-3.093056,58.458889,2
-2.197778,57.201944,2
-6.869167,56.499167,2
-6.25,55.6833333,2
-5.7,55.4333333,2
-4.5833333,55.5166666,2
-3.7333333,56.3166666,2
-4.5333333,55.9,2
-4.95,54.85,2
-3.7333333,55.6166666,2
-2.3833333,55.7,2
-4.0,54.8,2
-2.868444,56.372889,2
-3.2,55.3166666,2
-3.35,55.9333333,2
-3.263667,54.131167,2
-3.6,54.5166666,2
-3.1666666,54.6166666,2
-4.623889,54.083333,2
-2.55,55.05,2
-1.8666666,55.0166666,2
-2.4166666,54.5666666,2
-2.2833333,55.2833333,2
-2.6833333,54.5,2
-1.603333,55.424167,2
-0.8666666,54.5666666,2
-1.3833333,54.2,2
-1.5354,54.292383,2
-3.9333333,53.1,2
-4.535339,53.248097,2
-3.5,53.25,2
-4.3666666,53.2666666,2
-1.8666666,53.8166666,2
-1.9833333,53.1333333,2
-2.977778,53.178056,2
-3.0666666,53.5,2
-1.25,53.0,2
-2.3833333,53.3666666,2
-0.4333333,53.8666666,2
0.0666666,53.4666666,2
-0.483242,53.03035,2
-0.523811,53.166167,2
-3.5833333,52.9,2
-4.7333333,52.7833333,2
-3.4666666,52.75,2
0.2666667,53.0833333,2
-2.668042,52.798169,2
-0.476453,52.612558,2
0.15,52.8666667,2
1.1333333,52.95,2
0.550692,52.648353,2
-4.5666667,52.1333333,2
-3.95,52.35,2
-3.6166666,52.0666666,2
-2.8,52.0833333,2
-2.8833333,52.25,2
-1.6833333,52.4833333,2
-2.0333333,52.15,2
-1.3333333,52.3666666,2
-0.4833333,52.2166666,2
0.56667,52.4,2
-5.05,51.7,2
0.48333,52.36667,2
-1.6833333,51.8666666,2
-3.9833333,51.5666666,2
-1.790028,51.682167,2
-4.3666667,51.7166667,2
-1.583617,51.749964,2
-0.418167,51.553,2
0.45,51.8833333,2
0.8333333,51.55,2
-1.095833,51.616389,2
-3.6,51.0833333,2
-1.993428,51.505144,2
-3.43575,51.404811,2
-4.150339,51.087167,2
-0.942825,51.234139,2
-1.8,51.2,2
-1.5666667,51.15,2
-1.747414,51.152189,2
-0.461389,51.4775,2
1.35,51.1333333,2
1.333,51.35,2
-0.776333,51.275833,2
-5.3166666,50.2166666,2
-4.6666666,50.5,2
-6.3,49.9166667,2
-5.255711,50.086092,2
-4.1166667,50.35,2
-2.638819,51.009358,2
-1.8425,50.78,2
-3.2333333,50.8666666,2
-2.45,50.5166666,2
-1.3,50.5833333,2
-0.9166666,50.8166666,2
-0.297222,50.835556,2
-2.601969,49.434956,2
-2.195508,49.207947,2
0.3166666,50.9,2
-7.5833333,54.7,2
-7.6,54.3333333,2
-6.9333333,55.15,2
-6.1666666,55.1833333,2
-6.8166666,54.7166666,2
-6.45,54.8666666,2
-6.5,54.2333333,2
-9.4166666,51.4666666,2
-10.25,51.9333333,2
-6.215833,54.6575,2
-8.924817,52.701978,2
-6.4833333,52.2833333,2
-9.9,53.3166666,2
-8.491111,51.841269,2
-8.0,53.0166666,2
-6.451333,53.301667,2
-6.270075,53.421333,2
-8.9833333,53.7166666,2
-10.0,54.2333333,2
-8.2333333,54.4833333,2
-7.3666666,53.5333333,2
-8.818492,53.910297,2
-7.3333333,55.3666666,2
-21.940556,64.13,2
-22.7333333,65.0833333,2
-22.6,63.96667,2
-23.9333333,64.9,2
-15.227222,64.295556,2
-18.072703,65.659994,2
-18.0166666,66.5333333,2
-21.9,64.1333333,2
-18.1166666,65.6833333,2
-20.2833333,63.4333333,2
-15.7833333,64.9333333,1
-52.8,68.717,1
-13.5833333,65.2666666,2
-68.703161,76.531203,1
-52.7,70.7333333,1
-51.067,69.233,1
-73.0,76.6333333,1
-69.3833333,77.4833333,1
-52.933,65.417,1
-57.8166666,74.0333333,1
-52.85,68.7,1
-54.6166666,70.6833333,1
-50.689325,67.016969,1
-49.7,61.9833333,2
-52.55,65.0166666,1
-50.4166666,62.5666666,2
-51.75,64.1666666,1
-45.425978,61.160517,1
-45.2,59.9833333,2
-33.3666666,83.65,1
-20.2166667,74.3,1
-16.65,81.6,1
-18.6666667,76.7666667,1
-32.2833333,67.7833333,1
-40.3,64.7833333,1
-37.15,65.5833333,2
-22.65,70.75,1
10.6333333,57.7333333,2
10.3333333,57.3833333,2
10.1,56.5666666,2
9.849164,57.092789,2
8.2166666,56.7,2
8.6666666,56.3833333,2
8.15,56.0,2
9.5,56.75,2
9.124628,56.297458,2
9.1833333,56.1,2
10.5166666,56.1,2
10.1333333,56.3,2
10.619008,56.300017,2
11.5166666,56.7166666,2
8.0833333,55.55,2
10.1333333,56.0833333,2
8.6666666,55.3,3
8.5666666,55.1833333,2
9.330925,55.436283,2
9.7833333,55.8666666,2
9.151778,55.740322,2
9.8833333,55.25,2
9.9833333,54.85,2
9.263931,55.225553,2
10.330933,55.476664,2
10.5666667,55.0166667,2
10.4333333,55.3166666,2
11.3833333,55.3166666,2
11.0,54.8166666,2
11.95,54.5666666,2
12.1833333,54.8833333,2
11.3333333,54.8333333,2
10.8666666,55.75,2
11.1333333,55.1666666,2
11.6,55.7333333,2
11.8666666,55.2,2
12.35,56.1166666,2
12.131428,55.585567,2
11.2833333,56.0166666,2
12.655972,55.617917,2
12.15,55.4,2
12.5333333,55.7666666,2
15.1,55.05,2
14.7666666,55.3,2
12.7166666,55.5333333,3
12.4166666,55.8833333,2
3.35,52.3666666,2
2.9333333,54.3166666,2
3.8166666,55.4166666,2
3.6333333,53.2666666,2
4.9666666,53.6166666,2
5.95,53.5,2
4.7333333,54.85,2
2.95,53.8166666,2
4.9166667,53.25,2
4.763889,52.308613,2
4.780625,52.923353,2
5.527222,52.460278,2
3.2166666,53.2166666,2
5.1833333,52.1,2
5.35,53.4,2
5.873056,52.060556,2
6.579444,53.11972,2
6.5730556,52.7333333,2
5.760556,53.228611,2
3.6,51.45,2
6.874167,52.27,2
3.6666666,51.9333333,2
3.8666666,51.2333333,2
4.342031,51.449092,2
3.2833333,52.0,2
4.437222,51.956944,2
4.1,51.9833333,2
4.9333333,51.9666666,2
5.708611,51.656389,2
5.1333333,51.85,2
5.374528,51.450139,2
4.931833,51.567389,2
2.862222,51.198889,2
2.652778,51.090278,2
5.770144,50.911658,2
3.1166666,50.9,2
3.2,51.35,2
3.831,50.575833,2
3.8166666,50.9833333,2
4.5166666,51.0833333,2
3.6666666,50.9333333,2
4.460278,51.189444,2
4.6,50.1,3
4.484444,50.901389,2
4.453817,50.459197,2
4.35,50.8,3
4.645833,50.243333,2
5.0333333,51.2166666,2
4.6833333,50.5833333,2
4.768333,50.75861,2
5.404167,50.035833,2
5.443222,50.637417,2
5.0666667,51.0,2
5.25,50.2,2
5.45,50.9166666,2
5.9166667,50.4833333,2
5.5833333,49.6166666,2
5.47,51.168333,2
6.211517,49.626575,3
6.1833333,50.4666667,2
6.0666666,50.5166666,2
6.95,47.0,3
7.35,47.35,3
7.5833333,47.55,3
7.0666666,47.05,3
8.6166666,47.6833333,3
6.5666666,46.7333333,3
9.2833333,47.6,3
6.95,46.8166666,3
6.95,47.4333333,3
7.4666666,46.9833333,3
7.4166666,47.1833333,3
7.9833333,47.3666666,3
8.4666666,47.6833333,3
8.1666666,46.7166666,3
8.0833333,47.3833333,3
7.2833333,46.9833333,3
7.6166666,47.1333333,3
7.7833333,47.25,3
8.2333333,47.5666666,3
8.2333333,47.25,3
7.8833333,47.5833333,3
8.3,47.0333333,3
8.2,46.85,3
8.0,47.1833333,3
8.1833333,47.6,3
8.5166666,47.4333333,3
8.5666666,47.3833333,3
8.6333333,46.8666666,3
8.9,47.4833333,3
8.6833333,47.2166666,3
8.4666666,47.1833333,3
8.549167,47.464722,3
9.0666666,47.0333333,3
6.10895,46.238064,3
9.5666666,47.4833333,3
9.5,47.0166666,3
6.6666666,46.5166666,3
6.2333333,46.4,3
6.9166666,46.3333333,3
6.8666666,46.4,3
7.8666666,46.6666666,3
7.326764,46.219592,3
8.6,46.3166666,3
7.0333333,46.1833333,3
8.9333333,46.4666666,3
8.88,46.17,3
8.7833333,46.1666666,0
9.1666666,46.25,3
8.910578,46.004275,0
8.9333333,45.85,3
9.5166666,47.1333333,3
1.6,50.7333333,2
1.627339,50.514747,2
9.5333333,46.8666666,3
2.3333333,51.05,2
3.089444,50.561942,2
1.831892,50.143492,2
1.95,50.967,2
-1.9333333,49.7166666,2
-0.45,49.173333,2
0.088056,49.533889,2
-1.470281,49.650106,2
1.1,49.9333333,2
0.154306,49.365339,2
1.217,49.017,2
1.1748,49.384172,2
2.7038889,49.9666666,3
0.0833333,49.5333333,2
2.0333333,49.0833333,3
2.112778,49.454444,2
4.15,49.2166666,2
3.2,49.8166667,2
-4.151642,48.530258,2
-5.05,48.4833333,2
6.251319,48.982142,3
4.647078,49.783942,2
-3.4666666,48.8333333,2
-3.471656,48.754378,2
-4.445017,48.281703,2
-4.418539,48.447911,2
-2.08,48.587778,2
-0.7333333,48.0333333,2
-1.734794,48.069508,2
-2.854445,48.537777,2
1.5166667,48.4666667,2
1.376625,48.058142,2
0.1166667,48.45,2
2.359444,48.725278,0
2.106189,48.751922,2
2.0,48.7666666,2
2.201536,48.774406,0
2.671119,48.604725,0
2.3333333,48.8166666,0
2.441389,48.969444,0
4.899417,48.636008,3
2.55,49.012779,0
4.016703,48.322136,3
4.15,48.7666666,3
6.230458,48.692069,3
-4.167786,47.974981,2
5.955,48.583056,3
7.628233,48.538319,3
-3.44,47.760555,2
-1.610725,47.153189,0
-3.2183333,47.3,2
-2.149181,47.312189,2
-0.6,47.4833333,0
0.201667,47.948611,0
0.727606,47.432222,0
2.370278,47.058056,0
2.65,47.05,0
1.760556,47.987778,0
1.208844,47.678492,0
1.6833333,47.3166667,0
5.09,47.26889,3
3.113333,47.002625,3
5.3333333,47.85,3
3.497111,47.850193,3
6.364056,47.783131,3
5.9833333,47.25,3
7.529914,47.589583,3
-1.378625,46.701944,0
-2.3333333,46.7,0
6.8333333,47.5916667,3
0.306666,46.587745,0
-1.195278,46.179167,0
-0.401503,46.311303,0
-1.4166666,46.05,0
3.403736,46.169689,3
1.95,46.1833333,2
4.013264,46.412536,3
1.717,46.867,0
5.4166666,47.0333333,3
-0.3175,45.658333,0
4.795767,46.295103,3
0.2166666,45.7166666,0
1.469167,45.150833,0
1.179444,45.862778,0
3.169169,45.786661,3
5.090833,45.726387,3
5.328445,45.987335,3
4.3833333,45.9333333,3
4.944275,45.727172,3
4.296389,45.540554,3
5.329375,45.362944,3
5.880225,45.63805,3
5.85,45.22,3
6.098764,45.929233,3
-1.125,44.533333,0
-1.25,44.4333333,0
0.590556,44.174721,0
-0.715556,44.828335,0
1.378042,44.025694,0
1.4,44.75,0
0.518611,44.825279,0
2.421944,44.891388,3
2.482672,44.407869,3
3.0166666,44.1166666,3
4.9,43.9,0
4.3666666,44.5333333,0
4.866717,44.140481,0
4.7333333,44.5833333,0
6.0,44.0666667,0
-1.6833333,43.4,0
-1.0666667,43.6833333,0
-1.523325,43.468419,0
-0.418611,43.38,0
0.601667,43.687778,0
-0.5075,43.911667,0
1.3675,43.545555,0
1.10315,43.007764,0
1.25,43.45,0
1.363819,43.629075,0
3.35,43.3166666,0
2.113056,43.913887,0
2.306317,43.215978,0
4.4,43.8666667,0
3.7,43.4,0
4.416347,43.757444,0
3.963014,43.576194,0
3.0666666,42.9166666,0
5.213611,43.435555,0
5.10925,43.606415,0
4.923844,43.522736,0
6.953478,43.54205,0
6.146028,43.097344,0
6.387139,43.384672,0
6.4666667,43.0333333,0
3.1333333,42.5166666,0
2.870667,42.740442,0
7.215872,43.658411,0
8.9166666,42.6333333,0
8.793189,42.530753,0
9.406,41.924416,0
8.802917,41.923637,0
9.097777,41.500557,0
9.5333333,42.2666666,0
9.1666666,41.3666666,0
9.483731,42.552664,0
-8.377256,43.302061,2
-8.4166666,43.3666666,0
-7.45,43.1166666,2
-6.034622,43.563567,2
-5.8666666,43.35,2
-3.820006,43.427064,0
-2.0333333,43.3,0
-8.415144,42.896333,2
-3.8,43.4833333,0
-2.910608,43.301097,0
-1.790611,43.356519,0
-2.724469,42.882836,2
-8.6166666,42.4333333,0
-6.6,42.5666666,0
-8.626775,42.2318,0
-0.3333333,42.0833333,3
-1.646331,42.770039,0
-2.3333333,42.45,0
-4.75,41.6333333,3
2.078464,41.297078,0
0.6,41.6333333,0
1.167172,41.147392,0
-1.041553,41.666242,0
2.760547,41.900969,0
-3.785144,40.370678,0
-3.723833,40.294139,0
-3.566764,40.493556,0
-6.3333333,39.4666666,0
0.5,40.8166666,0
-3.1666666,40.6666666,3
2.7333333,39.55,0
-1.863517,38.948528,0
-0.481625,39.489314,0
-6.821333,38.89125,0
-0.558156,38.282169,0
4.218647,39.862597,0
-3.9166666,38.9833333,0
-6.9166666,37.2833333,0
-5.893106,37.418,0
1.373117,38.872858,0
-3.777356,37.188731,0
-5.615944,37.174917,0
-4.848878,37.842006,0
-1.230319,37.951111,0
-6.060111,36.744622,0
-1.1666666,38.0,0
-0.812389,37.774972,0
-4.499106,36.6749,0
-31.131361,39.455272,0
-5.349664,36.151219,0
-28.715872,38.519894,0
-2.370097,36.843936,0
-27.090797,38.761842,0
-25.170639,36.97139,0
-16.7666666,32.6833333,0
-25.69787,37.741184,0
-16.349975,33.073386,0
-16.9,32.6333333,0
-9.035916,38.703861,0
-7.965911,37.014425,0
-8.681389,41.248055,0
-8.887261,39.831244,0
-7.932397,38.078903,0
-7.9166666,38.0666666,0
6.6925,49.972667,3
-22.949444,16.741389,0
7.600283,49.436911,3
11.940175,49.698686,3
10.387831,49.473817,3
8.325397,50.049819,3
10.638717,49.308219,3
11.836111,49.218056,3
14.0,48.5666666,3
13.6666666,48.1,3
14.1333333,48.05,3
14.187511,48.233219,3
14.9,48.1,3
15.3666666,48.6833333,3
15.0333333,48.95,3
15.2,48.6166666,3
15.95,48.7666666,3
16.11186,48.321083,3
16.3666666,48.2,3
16.6333333,48.6666666,3
16.4166666,48.1333333,3
16.569722,48.110278,3
16.3666666,48.25,3
13.0333333,48.2166666,3
14.2833333,48.3,3
15.6166666,48.4166666,3
13.4333333,48.4666666,3
15.7,48.4666667,3
15.5833333,48.0333333,3
16.2833333,48.0333333,3
11.343964,47.260219,3
9.75,47.5,3
12.1666666,47.5833333,3
11.35,47.25,3
13.1,47.9833333,3
14.1333333,47.5333333,3
12.7,47.5833333,3
